Company Name,Type,Ticker,Market Cap / Valuation (Billions USD),Notes,% of mkt cap attributable to defense,,,,,,,
Leidos,Public,LDOS,23.5,Defense IT,87%,918.15,61%, 0.9466 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, Northrop Grumman, BAE Systems, Thales, L3Harris, Leonardo, Rheinmetall, Leidos, "
Booz Allen,Public,BAH,13.7,Defense consulting,98%,931.576,62%, 0.9553 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, Northrop Grumman, BAE Systems, Thales, L3Harris, Leonardo, Rheinmetall, Leidos, Booz Allen, "
Textron,Public,TXT,14.5,Defense systems,45%,938.101,62%, 0.9644 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, Northrop Grumman, BAE Systems, Thales, L3Harris, Leonardo, Rheinmetall, Leidos, Booz Allen, Textron, "
Elbit Systems,Public,ESLT,22.8,Israeli defense,95%,959.761,62%, 0.9789 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, Northrop Grumman, BAE Systems, Thales, L3Harris, Leonardo, Rheinmetall, Leidos, Booz Allen, Textron, Elbit Systems, "
CACI,Public,CACI,10.7,Defense IT services,95%,969.926,62%, 0.9856 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, Northrop Grumman, BAE Systems, Thales, L3Harris, Leonardo, Rheinmetall, Leidos, Booz Allen, Textron, Elbit Systems, CACI, "
Huntington Ingalls,Public,HII,10.6,Shipbuilding,100%,980.526,63%, 0.9923 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, Northrop Grumman, BAE Systems, Thales, L3Harris, Leonardo, Rheinmetall, Leidos, Booz Allen, Textron, Elbit Systems, CACI, Huntington Ingalls, "
SAIC,Public,SAIC,5.6,Defense technology,98%,986.014,63%, 0.9959 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, Northrop Grumman, BAE Systems, Thales, L3Harris, Leonardo, Rheinmetall, Leidos, Booz Allen, Textron, Elbit Systems, CACI, Huntington Ingalls, SAIC, "
KBR,Public,KBR,6.5,Defense services,40%,988.614,63%, 1.0000 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, Northrop Grumman, BAE Systems, Thales, L3Harris, Leonardo, Rheinmetall, Leidos, Booz Allen, Textron, Elbit Systems, CACI, Huntington Ingalls, SAIC, KBR, "
Anduril,Private,,40,Autonomous defense systems,,,,,,,,"Anduril, "
Applied Intuition,Private,,15,Defense simulation,,,,,,,,"Anduril, Applied Intuition, "
Shield AI,Private,,5.5,AI pilot systems,,,,,,,,"Anduril, Applied Intuition, Shield AI, "
Saronic,Private,,4,Autonomous vessels,,,,,,,,"Anduril, Applied Intuition, Shield AI, Saronic, "
Castelion,Private,,2.5,Defense manufacturing,,,,,,,,"Anduril, Applied Intuition, Shield AI, Saronic, Castelion, "
Skydio,Private,,2.5,Military drones,,,,,,,,"Anduril, Applied Intuition, Shield AI, Saronic, Castelion, Skydio, "
Epirus,Private,,1.1,Counter-drone systems,,,,,,,,"Anduril, Applied Intuition, Shield AI, Saronic, Castelion, Skydio, Epirus, "
True Anomaly,Private,,0.944,Space defense,,,,,,,,"Anduril, Applied Intuition, Shield AI, Saronic, Castelion, Skydio, Epirus, True Anomaly, "
Vannevar Labs,Private,,0.575,Defense intelligence,,,,,,,,"Anduril, Applied Intuition, Shield AI, Saronic, Castelion, Skydio, Epirus, True Anomaly, Vannevar Labs, "
Mach Industries,Private,,0.335,Hydrogen systems,,,,,,,,"Anduril, Applied Intuition, Shield AI, Saronic, Castelion, Skydio, Epirus, True Anomaly, Vannevar Labs, Mach Industries, "
Hadrian,Private,,0.45,Defense manufacturing,,,,,,,,"Anduril, Applied Intuition, Shield AI, Saronic, Castelion, Skydio, Epirus, True Anomaly, Vannevar Labs, Mach Industries, Hadrian, "
HawkEye360,Private,,0.4,RF analytics,,,,,,,,"Anduril, Applied Intuition, Shield AI, Saronic, Castelion, Skydio, Epirus, True Anomaly, Vannevar Labs, Mach Industries, Hadrian, HawkEye360, "
CHAOS Industries,Private,,2,Defense systems,,,,,,,,"Anduril, Applied Intuition, Shield AI, Saronic, Castelion, Skydio, Epirus, True Anomaly, Vannevar Labs, Mach Industries, Hadrian, HawkEye360, CHAOS Industries, "
Primer,Private,,0.27,Defense NLP,,,,,,,,"Anduril, Applied Intuition, Shield AI, Saronic, Castelion, Skydio, Epirus, True Anomaly, Vannevar Labs, Mach Industries, Hadrian, HawkEye360, CHAOS Industries, Primer, "
